name,P_c,T_c,V_c,rho_c
"Propanoic acid, 2-oxo-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,2-Hydrazinedicarboxaldehyde",-1.0,-1.0,-1.0,-1.0
Ethanediamide,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Phospholane,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,3-Dioxane",-1.0,-1.0,-1.0,-1.0
"1,4-Dioxane",54.7155,587.3,0.239,4.09
1-Hydroxy-2-butanone,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"2-Propanone, 1-methoxy-",-1.0,-1.0,-1.0,-1.0
"Oxirane, (methoxymethyl)-",-1.0,-1.0,-1.0,-1.0
"Ethanol, 2-(vinyloxy)-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,3-Dioxolane, 2-methyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Acetoin,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
CH3C(O)CH2CH2OH,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,3-Dioxolane, 4-methyl-",-1.0,-1.0,-1.0,-1.0
"2-Butene-1,4-diol, (2E)-",-1.0,-1.0,-1.0,-1.0
Butanoic acid,40.64,615.2,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Ethyl Acetate,38.82,530.0,-1.0,3.492
"Propanoic acid, 2-methyl-",37.0,605.0,-1.0,-1.0
"Formic acid, 1-methylethyl ester",-1.0,-1.0,-1.0,-1.0
Methyl propionate,40.04,531.0,-1.0,3.54
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Formic acid, propyl ester",40.61,538.0,-1.0,3.511
,-1.0,-1.0,-1.0,-1.0
"3-Furanol, tetrahydro-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Urea, N,N-dimethyl-",-1.0,-1.0,-1.0,-1.0
"Urea, N,N'-dimethyl-",-1.0,-1.0,-1.0,-1.0
"Urea, ethyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Propane, 1-ethoxy-",33.7,500.2,-1.0,2.951
"Propane, 1-methoxy-2-methyl-",-1.0,-1.0,-1.0,-1.0
"Butane, 1-methoxy-",33.71,512.8,0.329,-1.0
"1-Propanol, 2,2-dimethyl-",-1.0,-1.0,-1.0,-1.0
"Propane, 2-ethoxy-",-1.0,490.3,-1.0,-1.0
"Propane, 2-methoxy-2-methyl-",33.97,496.4,-1.0,-1.0
"Butane, 2-methoxy-",-1.0,-1.0,-1.0,-1.0
"1-Butanol, 2-methyl-, (S)-",-1.0,-1.0,-1.0,-1.0
Amylene hydrate,37.1,543.7,-1.0,-1.0
"1-Butanol, 3-methyl-",39.3,579.0,-1.0,-1.0
"2-Butanol, 3-methyl-, (S)-",-1.0,-1.0,-1.0,-1.0
1-Pentanol,39.0,580.0,0.326,3.06
2-Pentanol,36.8,560.3,0.329,3.04
3-Pentanol,-1.0,559.6,0.325,3.07
,-1.0,-1.0,-1.0,-1.0
"Hydrazine, 1,2-diethyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"2-Methyl-1,2-propanediamine",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,2-Butanediamine",-1.0,-1.0,-1.0,-1.0
2-Butynedinitrile,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,2-Ethanediamine, N,N-dimethyl-",-1.0,-1.0,-1.0,-1.0
"1,2-Ethanediamine, N,N'-dimethyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,3-Propanediamine, N-methyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"2,2-Dimethylthiirane",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Ethylvinyl sulfide,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Thiophene, tetrahydro-",-1.0,632.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Silane, tetramethyl-",28.21,448.64,0.362,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,3-Butadiene, 2-chloro-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
oxamic acid,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Propane, 1-nitro-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Propane, 2-nitro-",-1.0,-1.0,-1.0,-1.0
β-Alanine,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Urethane,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
N-Methylglycine,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
1-Amino-2-methyl-2-propanol,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"N,N-Dimethylaminoethanol",-1.0,-1.0,-1.0,-1.0
"Ethanol, 2-(ethylamino)-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1-Propanol, 2-amino-2-methyl-",-1.0,-1.0,-1.0,-1.0
R(-)-2-Amino-1-butanol,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1-Propanamine, 3-methoxy-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Diethylhydroxylamine,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Methanethioamide, N,N-dimethyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Oxalic acid,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,3,5-Trioxane",-1.0,-1.0,-1.0,-1.0
Dihydroxyacetone,-1.0,-1.0,-1.0,-1.0
"Acetic acid, methoxy-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Carbonic acid, dimethyl ester",48.0,557.0,-1.0,3.97
"Acetic acid, hydroxy-, methyl ester",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Hydrazinecarboxylic acid, methyl ester",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Peroxide, diethyl",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Ethane, 1,1-dimethoxy-",-1.0,-1.0,-1.0,-1.0
"Ethane, 1,2-dimethoxy-",39.6,537.0,0.271,3.25
,-1.0,-1.0,-1.0,-1.0
"2-Propanol, 1-methoxy-",41.13,579.8,-1.0,-1.0
"Ethanol, 2-ethoxy-",-1.0,-1.0,-1.0,-1.0
tert-Butyl Hydroperoxide,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,2-Propanediol, 2-methyl-",-1.0,-1.0,-1.0,-1.0
"Propane-1,3-diol, 2-methyl-",-1.0,-1.0,-1.0,-1.0
Trimethylene glycol monomethyl ether,-1.0,-1.0,-1.0,-1.0
"1,2-Butanediol",-1.0,-1.0,-1.0,-1.0
"1,3-Butanediol, (R)-",-1.0,-1.0,-1.0,-1.0
"1,4-Butanediol",62.2,727.0,-1.0,-1.0
"DL-2,3-Butanediol",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Methyl thiolacetate,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
1-Fluoropentane,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Thiourea, methyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1-Propanethiol, 2-methyl-",-1.0,559.5,-1.0,-1.0
1-Butanethiol,-1.0,570.1,-1.0,3.08
2-Butanethiol,-1.0,554.0,-1.0,-1.0
Diethyl sulfide,39.6,557.0,-1.0,3.151
"Propane, 2-(methylthio)-",-1.0,549.5,-1.0,-1.0
"Propane, 1-(methylthio)-",-1.0,574.1,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
(Chloromethyl)cyclopropane,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1-Propene, 1-chloro-2-methyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
2-Chloro-1-butene,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1-Propene, 3-chloro-2-methyl-",-1.0,-1.0,-1.0,-1.0
"1-Butene, 3-chloro-",-1.0,-1.0,-1.0,-1.0
4-chlorobut-1-ene,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Ethanol, 2-nitro-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Nitric acid, ethyl ester",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
