name,P_c,T_c,V_c,rho_c
"Methane, isocyanato-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Methyl azide,-1.0,-1.0,-1.0,-1.0
"Aziridine, 1-methyl-",-1.0,-1.0,-1.0,-1.0
"Aziridine, 2-methyl-",-1.0,-1.0,-1.0,-1.0
Azetidine,-1.0,-1.0,-1.0,-1.0
Cyclopropylamine,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
2-Propen-1-amine,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Glyoxal,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Propylene oxide,54.4,488.2,0.195,5.15
,-1.0,-1.0,-1.0,-1.0
Trimethylene oxide,-1.0,507.9,-1.0,-1.0
2-Propen-1-ol,-1.0,545.1,-1.0,-1.0
Acetone,48.0,508.0,-1.0,4.63
Propanal,52.6,600.0,-1.0,4.91
"Diazene, dimethyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Butane,38.0,425.0,0.255,3.92
Isobutane,36.5,407.7,0.259,3.85
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Acetaldoxime,-1.0,-1.0,-1.0,-1.0
Acetamide,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Formamide, N-methyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
thiocyanic acid,-1.0,-1.0,-1.0,-1.0
"Ethanamine, N-methyl-",-1.0,-1.0,-1.0,-1.0
Propylamine,47.3796,497.0,-1.0,-1.0
2-Propanamine,45.4,471.8,-1.0,4.53
"Methylamine, N,N-dimethyl-",40.87,433.2,30.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Acetaldehyde, hydroxy-",-1.0,-1.0,-1.0,-1.0
Acetic acid,57.81,593.0,-1.0,5.84
Methyl formate,60.04,487.2,-1.0,5.818
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Urea,-1.0,-1.0,-1.0,-1.0
Carbonyl sulfide,63.49,378.8,0.1351,-1.0
,-1.0,-1.0,-1.0,-1.0
Allyl fluoride,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Ethane, methoxy-",43.61,438.03,0.222,4.529
1-Propanol,52.0,536.9,0.218,4.58
Isopropyl Alcohol,49.0,509.0,0.222,4.51
"Hydrazine, 1,1-dimethyl-",-1.0,-1.0,-1.0,-1.0
"Hydrazine, 1,2-dimethyl-",-1.0,-1.0,-1.0,-1.0
Ethylenediamine,67.07,613.1,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Thiirane,-1.0,-1.0,-1.0,-1.0
"Ethyne, chloro-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Methane, nitro-",58.7,588.0,-1.0,5.77
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Methanamine, N-methoxy-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,2-Ethanediol",82.0,720.0,-1.0,-1.0
ethyl hydroperoxide,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
n-Propyl fluoride,-1.0,-1.0,-1.0,-1.0
"Propane, 2-fluoro-",-1.0,-1.0,-1.0,-1.0
Dimethyl sulfide,55.3,503.0,-1.0,4.972
Ethanethiol,54.9,499.0,-1.0,4.822
"Ethene, chloro-",-1.0,-1.0,-1.0,-1.0
Nitric acid,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Ethene, 1,1-difluoro-",44.3331,302.74,-1.0,6.4
,-1.0,-1.0,-1.0,-1.0
Sulfur dioxide,-1.0,430.34,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
